id,tabset,pageset,pagename,item_type,item_order,item_text,item_text_es,item_text_long,item_text_long_es,item_alignment,item_font,item_cellspan,item_appendrule,item_help_bubble,item_help_bubble_es,item_help_parenting,item_help_parenting_es,item_help_legal,item_help_legal_es,item_help_code,item_help_code_es,question_group,question_field,q_label_location,q_text_location,q_text_style,q_option_location,q_option_layout,instance_number,q_subscript,item_rule,item_script,item_text_pt,item_text_long_pt
3066,,General,Products,Question,3,,,,,left,Normal,1,end row,,,,,,,,,General,ChildrenParentingPlan,right_flush,top,Normal,right,vertical,0,,,,,
3064,,General,Products,Text,1,Please choose the product(s) you wish to purchase and click next.,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
3065,,General,Products,Text,2,,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
3015,,General,Status,LongText,1,,,"Review each section to determine which issues are important then click the ""visible"" check box to make the questions/answers visible and click the ""report"" check box to include your answers in the report.\n\nOnce you answer the questions, new calendars, reports, and Parenting Plans will be created automatically.\n\nBe sure to include issues or events that may not be important now but that may be important in the future, like driving, sports or television time.\n",,left,Normal,3,end row,,,,,,,,,,,,,,,,,,,,,
4505,Issues,Issues,DrugsAlcohol,SeparatorLine,38,SeparatorLine,,,,left,,1,end row,,,,,,,,,,,,,,,,,,,,,
3604,Help,Help,Menu,Text,1,Click on a letter to see help topics that begin with that letter.,,,,center,Normal,3,end row,,,,,,,,,,,,,,,,,,,,,
3605,Help,Help,Menu,help alpha menu,2,,,,,left,Normal,3,end row,,,,,,,,,,,,,,,,,,,,,
4102,,Login,ReportsToDo,ButtonSubmit,6,    Next    ,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2615,General,General,Status,Question,36,,,,,left,Normal,1,next cell,,,,,,,,,Custody,legalAgreements,right_flush,top,Normal,left,horizontal_2,,,,,,
2418,General,General,Status,Question,37,,,,,left,Normal,1,end row,,,,,,,,,Custody,religionFaith,right_flush,top,Normal,left,horizontal_2,,,,,,
2419,General,General,Status,Question,38,,,,,left,Normal,1,next cell,,,,,,,,,Custody,contactingChildren,right_flush,top,question List Header,left,horizontal_2,,,,,,
2420,General,General,Status,Question,39,,,,,left,Normal,1,next cell,,,,,,,,,Custody,housingSituation,right_flush,top,Normal,left,horizontal_2,,,,,,
2425,General,General,Status,SeparatorLine,45,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2402,General,General,Status,SeparatorLine,6,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2845,,General,Account,Question,19,,,,,left,Normal,1,end row,,,,,,,,,Court,ParentOneCounty,top,top,Normal,right,horizontal_2,,,,,,
2874,,General,Account,SeparatorLine,20,SeparatorLine,,,,left,Normal,4,end row,,,,,,,,,,,,,,,,,,,,,
1967,General,General,Account,Text,10,KidsFirst! user name: [[field  General_LoginID]],,,,left,body,1,end row,,,,,,,,,,,,,,,,,,,,,
2415,General,General,Status,SeparatorLine,25,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2912,,General,FamilyNames,Question,7,,,,,left,Normal,1,same cell,,,,,,,,,ChildData,MiddleName,top,top,Normal,left,vertical,ii,,,,,
3002,General,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2898,,General,FamilyNames,Question,6,,,,,left,Normal,1,same cell,,,,,,,,,ChildData,FirstName,top,top,Normal,left,vertical,ii,,,,,
2913,,General,FamilyNames,SeparatorLine,12,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2902,,General,FamilyNames,Text,10, ,,,,left,Normal,2,end row,,,,,,,,,,,,,,,,,,,,,
2899,,General,FamilyNames,Question,8,,,,,left,Normal,1,end row,,,,,,,,,ChildData,LastName,top,top,Normal,left,vertical,ii,,,,,
2901,,General,FamilyNames,Question,11,,,,,left,Normal,1,end row,,,,,,,,,ChildData,photo,top,top,Normal,right,horizontal_3,ii,,,,,
2900,,General,FamilyNames,Question,9,,,,,left,Normal,1,end row,,,,,,,,,ChildMedical,Disability,top,top,Normal,right,horizontal_3,ii,,,,,
2903,,General,FamilyNames,EndDo,13,,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2897,,General,FamilyNames,DoLoop,5,"( ii = 1 , [[Field Marriage_NumberOfChildren]] )",,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2896,,General,FamilyNames,SeparatorLine,3,SeparatorLine,,,,left,Normal,3,end row,,,,,,,,,,,,,,,,,,,,,
2566,General,General,FamilyNames,Text,4,Names of Children,,,,left,header,2,end row,,,,,,,,,,,,,,,,,,,,,
2257,General,General,EnglishSpanish,Question,1,,,,,left,headerBold,1,end row,,,,,,,,,General,Language,left_flush,top,Normal,right,horizontal_2,,,,,,
4109,,Login,DidNotPay,ButtonSubmit,2,    Next    ,,,,center,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4108,,Login,DidNotPay,Text,1,"Since your payment was not received, you may use the free license for KidsFirst!,  which has only parts of the paid KidsFirst! version.\n<br><br>",,,,left,body,1,end row,,,,,,,,,,,,,,,,,,,,,
3606,Help,Help,Display,help display,1,,,,,left,Normal,3,end row,,,,,,,,,,,,,,,,,,,,,
2456,General,General,FamilyNames,Text,1,Number of Children,,,,left,header,2,end row,,,,,,,,,,,,,,,,,,,,,
3563,General,General,CustodyAgreements,EndDo,16,,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4327,General,General,Acknowledgements,LongText,2,,,"<b>Supporters</b>\n<i>In Memoriam</i>\nJill Bond Caire, Ph.D.\nA special thanks is given to Dr. Jill Bond Caire for her support of KidsFirst! during her lifetime.  \n\n<i>In Gratitude</i>\nMichele Brown\nDeep appreciation is given to Michele Brown for her vision and help in distributing KidsFirst! to family law courts and parents in need.\n\n\n",,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2728,General,General,Acknowledgements,LongText,5,,,"Henry Koltys, J.D. &#151; Family Law Attorney and Mediator\nQuestions/Answers, Legal and Parenting Advice\n\nCassandra Light &#151; Relationship Counselor \nParenting Advice",,left,body,1,end row,,,,,,,,,,,,,,,,,,,,,
4336,General,General,Acknowledgements,LongText,11,,,<b>Programmers&#151First Team</b>\nJ. Michael Crawford &#151; Architect and Senior Engineer\nOrin V. Anderson &#151; Senior Engineer\nRichard L. Jackson &#151; Data Base Guru\n\n<b>Programmers&#151Second Team</b>\nSergei Lilichenko &#151; Architect and Lead Engineer\nGary Gordon &#151; Senior Engineer,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4328,General,General,Acknowledgements,SeparatorLine,6,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2729,General,General,Acknowledgements,Text,4,Knowledge Experts,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
5185,,General,Acknowledgements,SeparatorLine,3,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4111,,General,Account,Text,1,Account Type - [[field General_AccountType]]\n<br>,,,,left,header,2,end row,,,,,,,,,,,,,,,,,,,,,
5586,,General,CustodyAgreements,LongText,2,,,The best way to create a Parenting Plan and Custody Agreement is when both parents work together to determine what is best for the children.  When one parent refuses to cooperate or sign off on a Plan or Agreement the other parent must go it alone. That parent should know that judges prefer both parents share parenting and custody responsibilities and the parent who submits the most  appropriate Plan and Agreement will receive the judge's approval. ,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2657,General,General,CustodyAgreements,Question,8,,,,,left,Normal,1,end row,,,,,,,,,Custody,numberOfAgreements,left_flush,top,Normal,left,horizontal_2,0,,,,,
5588,,General,CustodyAgreements,Text,1,Plan Creators--One or Both Parents,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
4014,,General,Account,Question,12,,,,,left,,1,same cell,,,,,,,,,Parent,MiddleName,top,top,,left,vertical,1,,,,,
4021,,General,Account,Question,14,,,,,left,,1,same cell,,,,,,,,,Parent,NickName,top,top,,top,horizontal_2,1,,,,,
2471,General,General,Account,Question,16,,,,,left,Normal,1,same cell,,,,,,,,,Parent,motherOrFather,left_flush,top,Normal,right,horizontal_2,1,,,,,
4019,,General,Account,Question,15,,,,,left,,1,end row,,,,,,,,,Parent,email,top,top,,top,horizontal_2,1,,,,,
2820,,General,Account,Question,17,,,,,left,,1,end row,,,,,,,,,Parent,gender,left_flush,top,,right,horizontal_2,1,,,,,
2451,General,General,Status,Question,2,,,,,left,Normal,1,next cell,,,,,,,,,General,childrenInfo,right_flush,top,Normal,left,vertical,0,,,,,
2661,General,General,Status,Question,3,,,,,left,Normal,1,next cell,,,,,,,,,General,custodyAgreements,right_flush,top,Normal,left,vertical,,,,,,
2450,General,General,Status,Question,4,,,,,left,,1,end row,,,,,,,,,General,RelationshipInfo,right_flush,top,,left,vertical,0,,,,,
2401,General,General,Status,Text,7,Children's Info,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2405,General,General,Status,Question,10,,,,,left,Normal,1,end row,,,,,,,,,ChildData,childID,right_flush,top,Normal,left,vertical,0,,,,,
2406,General,General,Status,Question,11,,,,,left,Normal,1,next cell,,,,,,,,,ChildData,physicalHealth,right_flush,top,question List Header,left,vertical,,,,,,
2407,General,General,Status,Question,12,,,,,left,Normal,1,next cell,,,,,,,,,ChildData,mentalHealth,right_flush,top,question List Header,left,vertical,,,,,,
2408,General,General,Status,Question,13,,,,,left,Normal,1,end row,,,,,,,,,ChildData,schoolProfile,right_flush,top,question List Header,left,vertical,,,,,,
2409,General,General,Status,Question,14,,,,,left,Normal,1,next cell,,,,,,,,,ChildData,friendsInterests,right_flush,top,question List Header,left,vertical,,,,,,
2410,General,General,Status,Question,15,,,,,left,Normal,1,next cell,,,,,,,,,ChildData,childCareDayCare,right_flush,top,question List Header,left,vertical,,,,,,
2411,General,General,Status,Question,16,,,,,left,Normal,1,end row,,,,,,,,,ChildData,adoptedFoster,right_flush,top,question List Header,left,vertical,,,,,,
2413,General,General,Status,SeparatorLine,17,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2412,General,General,Status,Text,18,[[field Parent_FirstName(1)]]'s Info,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2457,General,General,Status,Question,19,,,,,left,Normal,1,next cell,,,,,,,,,ParentOne,legalInfo,right_flush,top,question List Header,left,vertical,,,,,,
2458,General,General,Status,Question,20,,,,,left,Normal,1,next cell,,,,,,,,,ParentOne,employmentStatus,right_flush,top,question List Header,left,vertical,,,,,,
2459,General,General,Status,Question,21,,,,,left,Normal,1,end row,,,,,,,,,ParentOne,educationProfile,right_flush,top,question List Header,left,vertical,,,,,,
2460,General,General,Status,Question,22,,,,,left,Normal,1,next cell,,,,,,,,,ParentOne,financialProfile,right_flush,top,question List Header,left,vertical,,,,,,
2508,General,General,Status,Question,23,,,,,left,Normal,1,next cell,,,,,,,,,ParentOne,physicalHealth,right_flush,top,question List Header,left,vertical,,,,,,
2470,General,General,Status,Question,24,,,,,left,Normal,1,end row,,,,,,,,,ParentOne,mentalHealth,right_flush,top,question List Header,left,vertical,,,,,,
2461,General,General,Status,Text,26,[[field Parent_FirstName(2)]]'s Info,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2462,General,General,Status,Question,27,,,,,left,Normal,1,next cell,,,,,,,,,ParentTwo,legalInfo,right_flush,top,question List Header,left,vertical,,,,,,
2463,General,General,Status,Question,28,,,,,left,Normal,1,next cell,,,,,,,,,ParentTwo,employmentStatus,right_flush,top,question List Header,left,vertical,,,,,,
2464,General,General,Status,Question,29,,,,,left,Normal,1,end row,,,,,,,,,ParentTwo,educationProfile,right_flush,top,question List Header,left,vertical,,,,,,
2466,General,General,Status,Question,30,,,,,left,Normal,1,next cell,,,,,,,,,ParentTwo,financialProfile,right_flush,top,question List Header,left,vertical,,,,,,
2509,General,General,Status,Question,31,,,,,left,Normal,1,next cell,,,,,,,,,ParentTwo,physicalHealth,right_flush,top,question List Header,left,vertical,,,,,,
2468,General,General,Status,Question,32,,,,,left,Normal,1,end row,,,,,,,,,ParentTwo,mentalHealth,right_flush,top,question List Header,left,vertical,,,,,,
2465,General,General,Status,SeparatorLine,33,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2414,General,General,Status,Text,34,Sharing Custody,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2417,General,General,Status,Question,35,,,,,left,Normal,1,next cell,,,,,,,,,Custody,legalPhysical,right_flush,top,question List Header,left,horizontal_2,,,,,,
2482,General,General,Status,Question,40,,,,,left,Normal,1,end row,,,,,,,,,Custody,adultResidents,right_flush,top,Normal,left,horizontal_2,,,,,,
2421,General,General,Status,Question,41,,,,,left,Normal,1,next cell,,,,,,,,,Custody,parentDating,right_flush,top,question List Header,left,horizontal_2,,,,,,
2483,General,General,Status,Question,42,,,,,left,Normal,1,next cell,,,,,,,,,Custody,childParentAbuse,right_flush,top,Normal,left,horizontal_2,,,,,,
2422,General,General,Status,Question,43,,,,,left,Normal,1,end row,,,,,,,,,Custody,drugsAlcohol,right_flush,top,Normal,left,horizontal_2,,,,,,
2424,General,General,Status,Question,44,,,,,left,Normal,1,end row,,,,,,,,,Custody,disability,right_flush,top,question List Header,left,horizontal_2,,,,,,
2426,General,General,Status,Text,46,Agreeing to Agree,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2427,General,General,Status,Question,47,,,,,left,Normal,1,next cell,,,,,,,,,Custody,collaboration,right_flush,top,question List Header,left,horizontal_2,,,,,,
2428,General,General,Status,Question,48,,,,,left,Normal,1,next cell,,,,,,,,,Custody,safeBehaviors,right_flush,top,question List Header,left,horizontal_2,,,,,,
2490,General,General,Status,Question,49,,,,,left,Normal,1,end row,,,,,,,,,Custody,positiveBehaviors,right_flush,top,question List Header,left,horizontal_2,,,,,,
2562,General,General,Status,Question,50,,,,,left,Normal,1,next cell,,,,,,,,,Agreeing,parentAlienation,right_flush,top,question List Header,left,horizontal_2,,,,,,
2429,General,General,Status,Question,51,,,,,left,Normal,1,next cell,,,,,,,,,Custody,respectResponsibility,right_flush,top,question List Header,left,horizontal_2,,,,,,
2430,General,General,Status,Question,52,,,,,left,Normal,1,end row,,,,,,,,,Custody,sharingDecisions,right_flush,top,question List Header,left,horizontal_2,,,,,,
2431,General,General,Status,Question,53,,,,,left,Normal,1,next cell,,,,,,,,,Custody,primaryContact,right_flush,top,question List Header,left,horizontal_2,,,,,,
2432,General,General,Status,Question,54,,,,,left,Normal,1,next cell,,,,,,,,,Custody,resolveDisputes,right_flush,top,question List Header,left,horizontal_2,,,,,,
2491,General,General,Status,Question,55,,,,,left,Normal,1,end row,,,,,,,,,Custody,changeAgreements,right_flush,top,question List Header,left,horizontal_2,,,,,,
2433,General,General,Status,Question,56,,,,,left,Normal,1,end row,,,,,,,,,Custody,reviewUpdate,right_flush,top,question List Header,left,horizontal_2,,,,,,
2434,General,General,Status,SeparatorLine,57,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2435,General,General,Status,Text,58,Parenting Together,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2436,General,General,Status,Question,59,,,,,left,Normal,1,next cell,,,,,,,,,Plan,visitationSchedule,right_flush,top,question List Header,left,horizontal_2,,,,,,
2437,General,General,Status,Question,60,,,,,left,Normal,1,next cell,,,,,,,,,Plan,reliableContact,right_flush,top,question List Header,left,horizontal_2,,,,,,
2439,General,General,Status,Question,61,,,,,left,Normal,1,end row,,,,,,,,,Plan,vacationPlans,right_flush,top,question List Header,left,horizontal_2,,,,,,
2441,General,General,Status,Question,62,,,,,left,Normal,1,next cell,,,,,,,,,Plan,holidayRules,right_flush,top,question List Header,left,horizontal_2,,,,,,
2442,General,General,Status,Question,63,,,,,left,Normal,1,next cell,,,,,,,,,Plan,holidaySchedules,right_flush,top,question List Header,left,horizontal_2,,,,,,
2443,General,General,Status,Question,64,,,,,left,Normal,1,end row,,,,,,,,,Plan,specialDays,right_flush,top,question List Header,left,horizontal_2,,,,,,
2444,General,General,Status,Question,65,,,,,left,Normal,1,next cell,,,,,,,,,Plan,travelRules,right_flush,top,question List Header,left,horizontal_2,,,,,,
2445,General,General,Status,Question,66,,,,,left,Normal,1,next cell,,,,,,,,,Plan,specialActivities,right_flush,top,question List Header,left,horizontal_2,,,,,,
2446,General,General,Status,Question,67,,,,,left,Normal,1,end row,,,,,,,,,Plan,approvedActivities,right_flush,top,question List Header,left,horizontal_2,,,,,,
5587,,General,CustodyAgreements,Text,6,Type of Plan,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2,Login,Login,Login,Question,2,,,,,left,question Group Question Text,1,end row,,,,,,,,,General,Password,,,,,,,,,,,
7253,,Bases,Disability,Question,13,,,,,left,Normal,1,end row,,,,,,,,,Disability,MedicalDocumentationType,left_flush,top,Normal,right,horizontal_2,0,,,,,
4533,,General,ReportsToDo,Question,3,,,,,left,,1,end row,,,,,,,,,Show,Children_FriendsInterests,left_aligned,top,,right,horizontal,0,,,,,
3046,Issues,Issues,Disability,EndDo,21,,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4068,,Login,NumberOfChildren,Question,1,,,,,left,Normal,1,end row,,,,,,,,,Marriage,NumberOfChildren,top,top,Normal,left,horizontal,0,,,,,
4069,,Login,NumberOfChildren,ButtonSubmit,3,    Next    ,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4085,,Login,NumberOfAgreements,Question,2,,,,,left,,1,end row,,,,,,,,,Custody,numberOfAgreements,left_flush,top,,right,horizontal_3,0,,,,,
3918,General,General,Dedication,LongText,1,,,"\nKidsFirst! is dedicated to my son Drew&#151;my inspiration, driving force, and ""the sun through the clouds."" Despite the difficult times and challenges we lived through over the years, our heart connection continues even when we are apart.\n\nLike the dynamic of all parent-child relationships, in some ways I represent the father inside Drew and in some ways he represents the child inside me. Sometimes I am the teacher and Drew is the student, while other times Drew is the teacher and I am the student.\n\nOur shared commitment to fairness and justice&#151;speaking on behalf of those without a voice&#151;has been a catalyst for me in bringing KidsFirst! into reality. Compassion, love, and understanding for those who act out of fear instead of love, especially for those closest to us, remain our greatest and most honorable teacher.\n\nHenry Koltys\nJuly 4, 2007",,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
5591,,General,CustodyAgreements,SeparatorLine,5,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4534,,General,ReportsToDo,Question,4,,,,,left,Normal,1,end row,,,,,,,,,Show,Children_ChildcareDaycare,left_aligned,top,Normal,right,horizontal,0,,,,,
4535,,General,ReportsToDo,Question,5,,,,,left,Normal,1,end row,,,,,,,,,Show,Children_AdoptFoster,left_aligned,top,Normal,right,horizontal,0,,,,,
3,,General,Account,Question,4,,,,,left,,1,end row,,,,,,,,,Parent,PasswordQuestion,left_flush,top,,left,vertical,1,,,,,
4115,,General,Account,Text,2,This is an Authorized account with full user privilages.,,,,left,body,3,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""Authorized"" )",,,
4114,,General,Account,Text,3,"This is a free guest account with limited functionality. To upgrade this account to a paid, fully functional account, click on the link below.",,,,left,body,3,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""Free"" )",,,
4116,,General,Account,Link,5,Upgrade to paid account,,,,left,bodyNav,3,end row,,,,,,,,,Login,ECommerce,,,,,,,,"if ( [[field General_AccountType]] == ""Free"")",,,
5595,,General,CustodyAgreements,LongText,4,,,"If both parents first agree but later one parent does not accept this Plan, return to this question prior to printing your Motion and Order for the Judge so that it is clear who actually created this Plan.",,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4537,,General,ReportsToDo,Question,7,,,,,left,Normal,1,end row,,,,,,,,,Show,Parent_Education,left_aligned,top,Normal,right,horizontal,0,,,,,
1960,General,General,Account,Text,9,Parent One,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
5599,,General,CustodyAgreements,Text,10,Naming Your Plan,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
4538,,General,ReportsToDo,Question,8,,,,,left,Normal,1,end row,,,,,,,,,Show,Parent_Financial,left_aligned,top,Normal,right,horizontal,0,,,,,
3,Login,Login,Login,Text,4,Parenting Calendar<br>\nCustody Agreement<br>\nParenting Plan Full<br>\nParenting Plan Summary<br>\nParenting Stypes Report<br>\n\n,Bienvenidos al Plan de Paternidad de KidsFirst,,,left,headerBold,1,end row,,,,,,,,,,,,,,,,,,,,,
5597,,General,CustodyAgreements,Question,3,,,,,left,Normal,1,end row,,,,,,,,,Plan,parentingPlanWhoCreated,left_flush,top,Normal,right,horizontal_3,0,,,,,
5600,,General,CustodyAgreements,SeparatorLine,9,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4113,,General,Account,Text,7,"Payment was not completed for this account so it has limited functionality. To upgrade this account to a paid, fully functional account, click on the link below.",,,,left,body,3,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""NotPaid"" )",,,
4117,,General,Account,Link,8,Upgrade to paid account,,,,left,bodyNav,3,end row,,,,,,,,,Login,ECommerce,,,,,,,,"if ( [[field General_AccountType]] == ""NotPaid"")",,,
5385,,Login,DemographicsFree,Question,11,,,,,left,Normal,1,same cell,,,,,,,,,DemographicsFree,incomeP1,top,top,Normal,left,horizontal,0,,,,,
4015,,General,Account,Question,13,,,,,left,,1,end row,,,,,,,,,Parent,LastName,top,top,,left,vertical,1,,,,,
7254,,Bases,Disability,Question,19,,,,,left,Normal,1,end row,,,,,,,,,Disability,MedicalDocumentationApprovalDenial,left_flush,top,Normal,right,horizontal_6,0,,,,,
4118,,Login,ReportsToDo,Text,1,[x]  Safe Child Plan\n<br>\n[x]  Emergency Contacts\n<br>\n[x]  Community Contacts\n<br>\nThe reports listed below are available only in the full version of KidsFirst!.\n,,,,left,body,1,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""Free"")",,,
4121,,Login,ReportsToDo,LongText,4,,,Parenting Calendar<br>\nCustody Agreement<br>\nParenting Plan Full<br>\nParenting Plan Summary<br>\nParenting Stypes Report<br>\n\n,,left,bodyItalic,1,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""NotPaid"")",,,
4119,,Login,ReportsToDo,LongText,2,,,Parenting Calendar<br>\nCustody Agreement<br>\nParenting Plan Full<br>\nParenting Plan Summary<br>\nParenting Styles Report\n,,left,body,1,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""Free"")",,,
4120,,Login,ReportsToDo,Text,3,[x]  Safe Child Plan\n\n[x]  Emergency Contacts\n\n[x]  Community Contacts\n\n<br>The reports listed below are available in the full version of KidsFirst! only.,,,,left,body,1,end row,,,,,,,,,,,,,,,,,,"if ( [[field General_AccountType]] == ""NotPaid"")",,,
4122,,Login,ReportsToDo,Question,5,,,,,left,Normal,1,end row,,,,,,,,,General,ReportsToDo,top,top,Normal,right,vertical,0,,"if ( [[field General_AccountType]] == ""Paid"")",,,
7007,,Bases,Disability,Question,26,,,,,left,Normal,1,end row,,,,,,,,,Disability,MedicalDocumentationDenialMgtName,top,top,Normal,right,horizontal_6,0,,,,,
