id,question_order,instance_name,question_group,question_field,question_label,question_label_es,question_label_short,question_label_short_es,question_text,question_text_es,question_inputtype,question_width,question_datatype,question_options,question_default_value,question_rule,updatestamp,question_label_link,question_help_bubble,question_help_bubble_es,question_help_parenting,question_help_parenting_es,question_help_legal,question_help_legal_es,question_help_code,question_help_code_es,is_favorite,data_array,data_array_counter,question_help_topic,question_label_pt,question_label_short_pt,question_text_pt,question_help_bubble_pt,question_help_parenting_pt,question_help_legal_pt,question_help_code_pt,question_help_topic_es,question_help_topic_pt
2589,18,(none),DemographicsFree,reference,Do you want a referral fee for telling others who buy the full paid version of KidsFirst!?,,,,,,radio,7,text,,,,1928-01-27 21:57:11,,,,,,,,,,,0,,,,,,,,,,,
708,44,Child,ChildSchool,childcareCert,Is the provider government licensed or regulated?,,Is the provider government licensed or regulated?,,,,multicheck,20,text,,,,2004-06-19 10:51:42,,,,,,,,,,,0,,,,,,,,,,,
705,27,Child,ChildSchool,schoolAddress2,City,,City,,,,text,20,text,,,,2004-06-19 10:48:18,,,,,,,,,,,,,,,,,,,,,,
2062,8,Parent,Custody,childAbuseCPScontact,Was Child Protective Services contacted for abuse or neglect?,,,,,,radio,0,text,,,,1926-02-06 17:39:13,,,,,,"California Penal Code\n\n273d.  (a) Any person who willfully inflicts upon a child any cruel\nor inhuman corporal punishment or an injury resulting in a traumatic\ncondition is guilty of a felony and shall be punished by imprisonment\nin the state prison for two, four, or six years, or in a county jail\nfor not more than one year, by a fine of up to six thousand dollars\n($6,000), or by both that imprisonment and fine.\n   (b) Any person who is found guilty of violating subdivision (a)\nshall receive a four-year enhancement for a prior conviction of that\noffense provided that no additional term shall be imposed under this\nsubdivision for any prison term served prior to a period of 10 years\nin which the defendant remained free of both prison custody and the\ncommission of an offense that results in a felony conviction.\n   (c) If a person is convicted of violating this section and\nprobation is granted, the court shall require the following minimum\nconditions of probation:\n   (1) A mandatory minimum period of probation of 36 months.\n   (2) A criminal court protective order protecting the victim from\nfurther acts of violence or threats, and, if appropriate, residence\nexclusion or stay-away conditions.\n   (3) (A) Successful completion of no less than one year of a child\nabuser's treatment counseling program.  The defendant shall be\nordered to begin participation in the program immediately upon the\ngrant of probation.  The counseling program shall meet the criteria\nspecified in Section 273.1.  The defendant shall produce\ndocumentation of program enrollment to the court within 30 days of\nenrollment, along with quarterly progress reports.\n   (B) The terms of probation for offenders shall not be lifted until\nall reasonable fees due to the counseling program have been paid in\nfull, but in no case shall probation be extended beyond the term\nprovided in subdivision (a) of Section 1203.1.  If the court finds\nthat the defendant does not have the ability to pay the fees based on\nthe defendant's changed circumstances, the court may reduce or waive\nthe fees.\n   (4) If the offense was committed while the defendant was under the\ninfluence of drugs or alcohol, the defendant shall abstain from the\nuse of drugs or alcohol during the period of probation and shall be\nsubject to random drug testing by his or her probation officer.\n   (5) The court may waive any of the above minimum conditions of\nprobation upon a finding that the condition would not be in the best\ninterests of justice.  The court shall state on the record its\nreasons for any waiver.",,,,,0,,,,,,,,,,,
747,32,Child,ChildMedical,medicalReleasesFiled,Has either parent given a signed release to the school \nor others authorizing them to give [[field ChildData_FirstName]] medication?,,Medical release on file,,,,multicheck,0,text,,,,2004-07-07 17:04:21,,,,,,"Schools, daycare and childcare providers or others who are responsible for your child usually require a signed release from one parent to administer medicine to your child, sometimes even aspirin or vitamins. A signed release protects them from liability in case they give your child a medicine that makes your child sick or worse.",,,,,0,,Medical Releases; Releases on File,,,,,,,,,
943,6,Custody,Agreeing,choreListOutside,What outdoor help would be good?,,Outdoor help,,,,multicheck,0,text,,,,2004-09-12 17:32:32,,,,,,,,,,,,,,,,,,,,,,
2553,38,Custody,Calendar,holidayIslamZaynAlAbidin,Birthday of Zayn al-Abidin,,Birthday of Zayn al-Abidin,,,,radio,0,text,,,,1927-10-07 14:58:21,,Great grandson of the Prophet Muhammad,,,,,,,,,0,,,,,,,,,,,
2554,39,Custody,Calendar,holidayIslamYawmAlZahrah,Birthday of Yawm al-Zahrah,,Birthday of Yawm al-Zahrah,,,,radio,0,text,,,,1927-10-07 15:01:16,,"Birthday of Fatimah Zahrah, daughter of the Prophet Muhammad ",,,,,,,,,0,,,,,,,,,,,
2541,31,Custody,Calendar,holidayJewPurim,Purim,,Purim,,,,radio,0,text,,,,1927-10-07 14:35:57,,,,,,,,,,,0,,,,,,,,,,,
2665,3,(none),Calendar,clothingSummer,<b>Summer Clothing</b>,,,,,,multicheck,16,text,,,,1929-08-28 12:09:48,,,,,,,,,,,0,,,,,,,,,,,
623,129,Custody,Plan,travelParentItineraryNotice,"If required, how many days before the planned travel <u>without</u> vPlanChildrenNames should the traveling parent provide a travel plan or itineray for the other parent?",,Days prior delivery of travel schedule,,,,radio,2,text,,,,2004-06-12 17:34:23,,,,,,,,,,,0,,,,,,,,,,,
1196,2,Parent,Support,irsFilingStatus,IRS Filing Status,,IRS Filing Status,,,,radio,6,text,,,,1924-11-10 17:36:47,,,,,,,,,,,0,,IRS Filing Status,,,,,,,,,
1481,96,Child,ChildMedical,physicianAddress,Address,,Address,,,,text,0,text,,,,1925-02-27 17:19:09,,,,,,,,,,,1,numberOfDoctors,,,,,,,,,,
2664,1,(none),Calendar,clothingWinter,<b>Winter Clothing</b>,,,,,,multicheck,16,text,,,,1929-08-28 12:03:19,,,,,,,,,,,0,,,,,,,,,,,
1759,16,Child,ChildSchool,homeworkTiming,"After the school day, when should [[field ChildData_FirstName]] do vChildHisHer homework?",,,,,,radio,30,text,,,,1925-09-23 20:40:28,,,,"Creating a ""home conduct contract"" between [[field ChildData_FirstName (ii)]], \nthe school, and you as vMeHisHer parents could help.",,,,,,,0,,,,,,,,,,,
2301,66,Child,ChildMedical,physicianHospitalPhone,Hospital Phone,,Hospital Phone,,,,text_phone_num,0,text,,,,1926-07-13 11:35:45,,where the doctor has hospital privileges,,,,,,,,,1,numberOfDoctors,,,,,,,,,,
284,28,(none),Marriage,NumberOfChildren,"How many children younger than 18 years old are within the custody of you and/or [[field Parent_FirstName(2) ""your partner""]]? ",¿Cuántos niños que sean menores de 18 años tuvieron u adoptaron usted y VpartnerName?,Number of children,Â¿CuÃ¡ntos niÃ±os que sean menores de 18 aÃ±os tuvieron u adoptaron usted y VpartnerName?,,,number_change_select,7,text,,,,2004-03-05 12:10:53,ruDisabledChild,,,The court needs to know how many non-disabled children were born to you or adopted by you during your marriage. The court needs to know how many disabled children were born to you or adopted by you during your marriage  because a disabled child has special needs and protected rights under the law.,,"Parental custody terminates when a child reaches 18, gets married (with parental permission), is emancipated or the court appoints a guardian. But in some cases, a court can order that a disabled child continue to receive support under the custody agreement afterwards.\n\nTo continue support for a disabled child, in most states the disability must have arisen before the child reached majority. Any case to establish the continuing duty of support past age 18 or high school must be started before the child reaches the age of majority. \n\nWhat about a child whose parents do not divorce until after he is 18 or finished high school? Some states take the position that all that is necessary is for the child to have had a disability prior to that time and then the parents must continue the support.\n\nBest to consult an attorney about this issue because it may require legal research, analysis and court action.\n",,"(California law is shown here. Your state's law may be different.)\n\nCA Family Code Section 7505.  \nThe authority of a parent ceases on any of the following:\n   (a) The appointment, by a court, of a guardian of the person of\nthe child.\n   (b) The marriage of the child.\n   (c) The child attaining the age of majority.\n\n7506.  Where a child, after attaining the age of majority, continues\nto serve and to be supported by the parent, neither party is\nentitled to compensation, in the absence of an agreement for the\ncompensation.\n\nCA Probate Code Section 1600.\nGuardianship automatically ends when one of the following happens to the child:\n\nTurns 18, \nIs adopted, \nGets married, \nIs emancipated (freed from guardianship) by court order, \nGoes into the military, or \nDies. \n\nOr the child, a parent, or the guardian can ask the court to end the guardianship. This is called ""terminating a guardianship."" You must prove that the guardianship isn't necessary anymore or that ending the guardianship is the best thing for the child.\n\nUntil custody or guardianship is terminated, the parents have a legal responsibility to provide for the child food, shelter, education and healthcare.\n\n\nCalifornia request for termination of guardianship form, GC-255, to be completed and filed by custodial parents.\n\nhttp://www.courtinfo.ca.gov/forms/fillable/gc255.pdf\n\nCalifornia order granting termination of guardianship form, GC-260, to be completed by custodial parents and signed by the judge.\n\nhttp://www.courtinfo.ca.gov/forms/fillable/gc260.pdf",,,0,,,,,,,,,,,
2613,25,Custody,Calendar,homeworkDueDate,Date Due:,,,,,,text_date,0,text,,,,1928-04-19 18:34:01,,,,,,,,,,,0,,,,,,,,,,,
2409,30,Custody,Agreeing,alienationAccessP1,Do you feel that [[field Parent_FirstName (2)]] limits your access to vPlanChildrenNames?,,Limit access to [[field Custody_AgreementName]],,,,radio,0,text,,,,1927-06-16 21:03:19,,,,,,"Even if you believe that the other parent's behavior is harmful to the child, you must have evidence to support your belief from others who are not biased. So unless professionals such as therapists, social workers, mediators, court facilitators or others agree with you, the judge will likely rule that your child should have unlimited contact with both parents.",,,,,0,,Parental Alientation; Alienated Parent,,,,,,,,,
798,2,(none),Custody,numberOfAgreements,How many custody agreements do you want to create:,,How many custody agreements do you want to create:,,,,number_change_select,2,text,,1,,2004-07-19 19:59:29,,,,,,,,,,,0,,Number of Plans,,,,,,,,,
1531,25,(none),CustomerInformation,cclogo,We accept,,,,,,text,0,text,,,,1925-03-08 21:25:24,,,,,,,,"<img border=""0"" src=""images/cclogo.gif"" width=""203"" height=""88"">&nbsp;",,,0,,,,,,,,,,,
1239,19,Child,Custody,disabilityInsurance,Does either parent have an existing disability insurance policy or enough money to buy a policy to protect vPlanChildrenNames in case of one or both parents become disabled?,,,,,,radio,0,text,,,,1924-11-16 17:45:35,,,,,,,,,,,0,,,,,,,,,,,
1746,21,(none),SafeBehaviors,homeAlone,At what age could vPlanChildrenNames be left home alone for a few hours?,,Age [[field Custody_AgreementName]] left home alone:,,,,select,0,text,,,,1925-09-11 18:23:11,,,,"To make an educated decision about the age of a child being left home alone, parents should consider the maturity of your child. A mature eleven year old may be safe at home alone, compared to a thirteen year child whose immaturity would be risky and dangerous.\n\nA responsible child who knows limits and boundaries and can closely follow directions and instructions is more likely to be trusted home alone. When making your decision, consider the safety of your neighborhood and the availability of an adult ""just in case,""  creating a back-up contact so he knows who to call. \n\nConsider a ""practice run"" during which your child has to problem solve various issues that may arise while you are away. If you feel he can perform intelligently and safely, then you can feel secure in your decision to leave him home alone. ",,"Abandonment - Desertion of a child without arranging for reasonable care and supervision. This category included cases in which children were not claimed within 2 days, and when children were left by parents/substitutes who gave no (or false) information about their whereabouts. \n\nU.S. Dept. Health and Human Services, Administration for Children and Families - http://nccanch.acf.hhs.gov/pubs/usermanuals/neglect/define.cfm",,,,,0,,Safety,,,,,,,,,
2561,45,Custody,Calendar,holidayIslamHajj,The Hajj,,The Hajj,,,,radio,0,text,,,,1927-10-07 16:48:19,,Night journey of Muhammad,,,,,,,,,0,,,,,,,,,,,
2650,22,Parent,ChildData,nationalityPaternalParentOne,Nationality of [[field Parent_FirstName(1)]]'s Father,,Nationality,,,,select,20,text,,,,1928-07-10 21:05:34,,,,,,,,,,,0,,Nationality - Parent,,,,,,,,,
1765,12,Custody,ConflictLevel,collaborationPast,"Before your split-up, did you and [[field Parent_FirstName(2)]] resolve children issues without arguing?",,Do you agree that problems from separation or divorce can be solved without fighting?,,,,radio,0,text,,,,1925-09-25 16:59:17,,,,"Truth is often a question of perspective, usually existing somewhere between one side and the other. If both parents are open and smart enough to view the world from the perspective of the other parent, you will be able to reach common agreement leading to real collaboration. Remember that you can best be a peacemaker when you are truly at peace with yourself and that your children will model your behavior, good or bad.\n\nA parent may want peace at any cost, but not realize the ""real"" cost is too expensive until it is too late. If you hide negative feelings about a situation because you have always believed that everything would go more smoothly to just ""go along,"" you may be causing bigger problems for you and your family. \n\nIf you do not allow yourself to feel the loss when relationships change or end, however harmful it may be, you may be missing a great opportunity for significant personal improvement and growth. Pay careful attention when you experience too much or too little feeling about a conflict because it may indicate you may be ignoring your true feelings. \n\nShowing your true face and true feelings would honor your honest experience. Expressing yourself without being mean or harmful, even if those feelings are anger or frustration, will help in many ways. Using this opportunity to explore personal issues and express your honest feelings, you encourage others involved to do the same. \n\nTaking responsiblity for your feelings In the safe environment of therapy could help create an authentic collaborative relationship with the other parent. There are many forms of self-inquiry and many types of services available, from traditional therapy to church counseling. You may even have a wise friend or relative you would trust when talking about your negative feelings. To be most helpful, share your feelings with a safe and objective listener who will not criticize or judge you, the other parent or your situation. \n\n\n",,,,,,,0,,Conflict - Collaboration Alternative,,,,,,,,,
2550,37,Custody,Calendar,holidayIslamMaulidAnNabi,Maulid-an Nabi,,Maulid-an Nabi,,,,radio,0,text,,,,1927-10-07 14:54:39,,"The birth, life, and example of Muhammad",,,,,,,,,0,,,,,,,,,,,
2010,1,Parent,Parent,PasswordQuestion,Password recovery question,,Password recovery question,,,,text,16,text,,,,1925-11-03 15:06:00,,It is important to always keep the most current medical contacts and medical history for the children available just in case.,,It is important to always keep the most current medical contacts and medical history for the children available just in case.,,,,,,,0,,,,,,,,,,,
325,1,Custody,ConflictLevel,MediationMethod,MediationMethod,,MediationMethod,,,,text,40,text,,,,,,,,,,,,,,,,,,,,,,,,,,
128,37,Child,ChildSchool,SchoolIterests,Interests,Intereses,Interests,Intereses,,,multiselect,0,text,art|biking|board games|cooking|crafts|pottery|fantasy/role play|films/movies|music play|music listen|singing/chorus|skateboarding|rollerblading|video games|theatre/drama|other,,,2004-02-17 13:58:22,,,,,,,,,,,,,,,,,,,,,,
2669,5,(none),Calendar,school,<b>School</b>,,,,,,multicheck,16,text,,,,1929-08-30 11:10:19,,,,,,,,,,,0,,,,,,,,,,,
1159,18,Child,Custody,sharingSchoolSituation,How soon should after a change or problem with vPlanChildrenNames's school situation should the other parent be informed?,,Notice of school situation/problem,,,,radio,0,text,,,,1924-11-06 09:33:32,,,,"As a parent, you will want to know if there is a sudden change for any reason. Keeping everyone in the information sharing loop gives both parents the opportunity to share in problem-solving.\n\nYou may want to enlist a friend or relative to call if you are unable to reach the other parent. This person must be reliable and be able to find the other parent so that everyone in the family can do their part during an emergency or unexpected situation.",,,,,,,0,,Sharing Information,,,,,,,,,
2011,1,Parent,Parent,PasswordAnswer,Password recovery answer,,Password ,,,,text,16,text,,,,1925-11-03 15:12:02,,,,,,,,,,,0,,,,,,,,,,,
2476,10,Child,ChildMedical,dup_numberOfMedications,Add/remove medications,,Number of medications,,,,number_change_button,2,text,,3,,1927-09-09 17:42:00,,,,The court needs to know how many non-disabled children were born to you or adopted by you during your marriage. The court needs to know how many disabled children were born to you or adopted by you during your marriage  because a disabled child has special needs and protected rights under the law.,,"In California, parental custody terminates when a child reaches 18, gets married (with parental permission), is emancipated or the court appoints a guardian. But in some cases, a court can order that a disabled child continue to receive support under the custody agreement afterwards.\n\nTo continue support in most states, the disability must have arisen before the child reached majority in order. Any case to establish the continuing duty of support past age 18 or high school must be started before the child reaches the age of majority. \n\nWhat about a child whose parents do not divorce until after he is 18 or finished high school? Some states take the position that all that is necessary is for the child to have had a disability prior to that time and then the parents must continue the support.\n\nBest to consult an attorney about this issue because it may require legal research, analysis and court action.\n",,"(California law is shown here. Your state's law may be different.)\n\nCA Family Code Section 7505.  \nThe authority of a parent ceases on any of the following:\n   (a) The appointment, by a court, of a guardian of the person of\nthe child.\n   (b) The marriage of the child.\n   (c) The child attaining the age of majority.\n\n7506.  Where a child, after attaining the age of majority, continues\nto serve and to be supported by the parent, neither party is\nentitled to compensation, in the absence of an agreement for the\ncompensation.\n\nCA Probate Code Section 1600.\nGuardianship automatically ends when one of the following happens to the child:\n\nTurns 18, \nIs adopted, \nGets married, \nIs emancipated (freed from guardianship) by court order, \nGoes into the military, or \nDies. \n\nOr the child, a parent, or the guardian can ask the court to end the guardianship. This is called ""terminating a guardianship."" You must prove that the guardianship isn't necessary anymore or that ending the guardianship is the best thing for the child.\n\nUntil custody or guardianship is terminated, the parents have a legal responsibility to provide for the child food, shelter, education and healthcare.\n\n\nCalifornia request for termination of guardianship form, GC-255, to be completed and filed by custodial parents.\n\nhttp://www.courtinfo.ca.gov/forms/fillable/gc255.pdf\n\nCalifornia order granting termination of guardianship form, GC-260, to be completed by custodial parents and signed by the judge.\n\nhttp://www.courtinfo.ca.gov/forms/fillable/gc260.pdf",,,0,,Medication List,,,,,,,,,
1767,11,Custody,ConflictLevel,collaborationPresent,"Currently, do you and [[field Parent_FirstName(2)]] resolve children issues without arguing?",,Do you agree that problems from separation or divorce can be solved without fighting?,,,,radio,0,text,,,,1925-09-25 17:00:32,,,,"Truth is often a question of perspective, usually existing somewhere between one side and the other. If both parents are open and smart enough to view the world from the perspective of the other parent, you will be able to reach common agreement leading to real collaboration. Remember that you can best be a peacemaker when you are truly at peace with yourself and that your children will model your behavior, good or bad.\n\nA parent may want peace at any cost, but not realize the ""real"" cost is too expensive until it is too late. If you hide negative feelings about a situation because you have always believed that everything would go more smoothly to just ""go along,"" you may be causing bigger problems for you and your family. \n\nIf you do not allow yourself to feel the loss when relationships change or end, however harmful it may be, you may be missing a great opportunity for significant personal improvement and growth. Pay careful attention when you experience too much or too little feeling about a conflict because it may indicate you may be ignoring your true feelings. \n\nShowing your true face and true feelings would honor your honest experience. Expressing yourself without being mean or harmful, even if those feelings are anger or frustration, will help in many ways. Using this opportunity to explore personal issues and express your honest feelings, you encourage others involved to do the same. \n\nTaking responsiblity for your feelings In the safe environment of therapy could help create an authentic collaborative relationship with the other parent. There are many forms of self-inquiry and many types of services available, from traditional therapy to church counseling. You may even have a wise friend or relative you would trust when talking about your negative feelings. To be most helpful, share your feelings with a safe and objective listener who will not criticize or judge you, the other parent or your situation. \n\n\n",,,,,,,0,,Conflict - Collaboration Alternative,,,,,,,,,
74,85,Child,ChildData,Features,Marks/Features,Identificar marcas/rasgos,Marks/Features,Identificar marcas/rasgos,,,multicheck,0,text,none|birthmark|scar|braces|teeth missing|tatoo|disfigurement|prostethics,noDistinguishingFeatures,,2004-02-08 22:12:49,,,,,,,,,,,0,,Description of Child,,,,,,,,,
77,88,Child,ChildData,PiercingLocation,Piercing,Perforaciones,Piercing,Perforaciones,,,multicheck,0,text,none|ear-single|ear-multiple|eyebrow ring|toung stud|chinstud|nose ring|nose stud|navel ring|navel stud|nipple ring|nipple stud|lip ring|lipstud,noPiercings,,2004-02-08 22:22:51,,,,,,,,,,,0,,Description of Child,,,,,,,,,
1748,22,(none),SafeBehaviors,homeAloneBabysit,At what age could vPlanChildrenNames be home alone to babysit younger children?,,Age [[field Custody_AgreementName]] babysit younger children,,,,select,0,text,,,,1925-09-11 18:23:53,,,,"If older children have always had the responsiblity of taking care of younger siblings you are the best judge as to whether a older child can make crucial decisions if there is a crisis. Having available a contact list of safety numbers,  such as fire, police and other responsible adults should be a requirement for any child care situation. For your  peace of mind have the child being asked to child sit practice problem solving in case of emergencies. If you feel assured that your child is responsible as the caretaker then agree, otherwise don't take unnecessary chances. Another way to find out whether an older child can babysit is to have this child babysit while you are in  another room. When you feel comfortable with the safety of your children, leave them alone for longer and longer amounts of time. You will have to be comfortable with your decision and this decision will have to be based on how well you know your child. ",,,,,,,0,,Safety,,,,,,,,,
2666,2,(none),Calendar,clothing,<b>Clothing</b>,,,,,,multicheck,16,text,,,,1929-08-28 16:52:00,,,,,,,,,,,0,,,,,,,,,,,
2659,20,Custody,Calendar,SupervisedVisits,Which parent should have supervised visits?,,,,,,radio,0,text,,,,1929-01-25 11:37:36,,,,,,,,,,,0,,,,,,,,,,,
2410,31,Custody,Agreeing,alienationAccessP2,Does [[field Parent_FirstName (2)]] feel that you limit access to vPlanChildrenNames?,,Limit access to [[field Custody_AgreementName]],,,,radio,0,text,,,,1927-06-16 21:25:12,,,,,,"Even if you believe that the other parent's behavior is harmful to the child, you must have evidence to support your belief from others who are not biased. So unless professionals such as therapists, social workers, mediators, court facilitators or others agree with you, the judge will likely rule that your child should have unlimited contact with both parents.",,,,,0,,Parental Alientation; Alienated Parent,,,,,,,,,
952,2,Custody,Agreeing,allowanceLinked,"Should vPlanChildrenNames get an allowance?  If so, should vPlanChildrenNames be required to do chores or not?",,Allowance for helping or not,,,,radio,0,text,,,,2004-09-12 20:32:13,,,,"Consider making the allowance separate from a payment for any help that your child provides around the house. If you approach helping around the house as a team effort then you could say that an allowance is given to every person in the family because they help each other.\n\nHelping out can be framed as each team member's responsiblity. Discuss with your child what would be the most help and he can do best, hopefully what he would enjoy doing. Maybe he gets one task he does not like to do so give him a bonus based on his attitude and completion. Be generous with praise when deserved and positive suggestions when goals are not met&#151;harsh words or making fun will not get the job done.\n\nThis is a great opportunity for him to learn what a work ethic is all about. It is most important to create a sense pride in a job well done and in being responsible for the needs of others in the household. Make sure the work is fair and show your own efforts to help with his and other household tasks. ",,,,,,,0,,Allowances,,,,,,,,,
843,31,Child,ChildData,friendsNumbers,How many close friends does [[field ChildData_FirstName]] have?,,Close friends: ,,,,radio,0,text,,,,2004-08-21 20:06:10,,,,"Some children have many good friends but only a few really close friends, while other children may have only a few friends. The number and type of friends may change as the child gets older and becomes more of an individual.\n\nIf you and your child can use the loss of the family situation as an opportunity for growth, you will both be able to welcome life with a clear mind, using open and honest communication. If your child believes she can come to you about difficult issues she is having in personal relationships, you will always know what is troubling her. Now is the time to help her develop emotional, social and mental skills for solving problems, in relationships and in life. ",,,,,,,0,,,,,,,,,,,
1747,22,(none),SafeBehaviors,homeAloneOvernight,At what age could vPlanChildrenNames be home alone overnight?,,Age [[field Custody_AgreementName]] home alone overnight,,,,select,0,text,,,,1925-09-11 18:23:33,,,,"When to leave a child home alone overnight is a difficult judgment call. Again, the maturity of the child is a critical consideration.\n\nIt is probably inappropriate to leave a child under 14 home alone overnight, especially when you consider the possiblity of inappropriate or secret behavior. If he is respectful of your rules and mature, there will be no problem. If you do choose to leave a young child at home alone you may return to find your home a wreck.  \n\nConsider having a friend or neighbor check up on the child at a random time. If he thinks someone could check in at anytime, he may think twice and not be so brave about doing anything unsafe or risky.",,"Permitted Chronic Truancy - Habitual truancy averaging at least 5 days a month was classifiable under this form of maltreatment if the parent/guardian had been informed of the problem and had not attempted to intervene. \n\nFailure to Enroll/Other Truancy - Failure to register or enroll a child of mandatory school age, causing the school-aged child to remain at home for nonlegitimate reasons (e.g., to work, to care for siblings, etc.) an average of at least 3 days a month. \n\nInattention to Special Education Need - Refusal to allow or failure to obtain recommended remedial educational services, or neglect in obtaining or following through with treatment for a child's diagnosed learning disorder or other special education need without reasonable cause. \n",,,,,0,,,,,,,,,,,
2375,34,Custody,ConflictLevel,negativeArgumentsPresent,"Currently, does either parent argue when your vchildChildren vChildrenIsAre present or might hear?",,,,,,radio,0,text,,,,1927-06-05 18:49:30,,,,"Making negative comments to your child about her other parent, whether intentional or not, is not appropriate. Similarly, making negative comments when your child may be around and could hear is also damaging. It also makes your child feel that they can't express her true feelings about that parent without feeling judged or criticized.\n\nChildren should be protected from such negativity and adult issues or problems should not be the concern or responsibility of a child. Some parents  justify this behavior by saying that the child has a right to know the truth but this is just an excuse to justify making the other parent look bad. Eventually, children will realize they have been used and that the parent really did not protect them or their childhood from adult problems.\n\nEven if you think your child can't hear you, know that she still experiences your upset before or after conflict with the other parent. Therefore it would be best to express conflict outside the home or in private, such as counseling, where she will not affected by your negative feelings. \n\nIt may also be necessary to explain to an older child that you are having a difficult time with these changes. Explain further that what they may feel is your anger and sadness over the loss of your relationship. It would also be good to remind your child that this situation is not their fault and that it will eventually be better for everyone. Frequently reassure your child that she is safe and will always be loved by both parents, even if the parents do not always agree. \n\nIt might be helpful for your child to know that having negative feelings or being afraid in this situation is very normal. If you feel the child needs safe place to express these feelings and fears, a family system therapist might be the next step to working through these feelings toward happier times.\n\n\n",,,,,,,0,,,,,,,,,,,
2135,7,(none),Communication,agreedTopicsP2,Which confidential issues does [[field Parent_FirstName(2)]] feel should NOT be discussed when vPlanChildrenNames can hear?,,,,,,multicheck,16,text,,,,1926-02-22 18:10:38,,,,,,,,,,,0,,,,,,,,,,,
1521,15,(none),CustomerInformation,cc_icon,,,,,,,labels_only,0,text,,,,1925-03-07 22:04:23,,,,,,,,,,,0,,,,,,,,,,,
1618,6,(none),Communication,agreedTopicsP1,Which confidential issues do you feel should NOT be discussed when vPlanChildrenNames can hear?,,,,,,multicheck,16,text,,,,1925-05-08 22:12:25,,,,,,,,,,,0,,,,,,,,,,,
746,35,Child,ChildMedical,allergyAnaphylacticShockTreatment,"Since anaphylactic shock can be a life or death situation, <br> is a there an EpiPen kit available in case of emergency? ",,"Since anaphylactic shock can be a life or death situation, is a there an EpiPen kit available in case of emergency? ",,,,multicheck,0,text,,,,2004-07-07 12:59:41,,EpiPen is a single-dose injection kit of epinephrine.,,"<a target=""_blank"" href=""http://www.foodallergy.org/anaphylaxis.html"">Food AllergyAnaphylaxis Info</a>\n\n<a target=""_blank"" href=""http://www.anaphylaxis.com"">Anaphylaxis Info</a>",,,,,,,0,,Anaphylactic Shock,,,,,,,,,
